State Name, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2019 Factors
Massachusetts, 6873003 , 6657291, 6789319, 6705586, 6830193, 6605058, 6742143, 6850553
Louisiana, 4664616 , 4601049, 4663461, 4625253, 4663616, 4567968, 4645670, 4664362
New Mexico, 2097021 , 2080085, 2084828, 2084117, 2092434, 2069706, 2082669, 2092454
Texas, 28635442 , 26092033, 27419612, 26538614, 27885195, 25639373, 26956435, 28260856
Puerto Rico, 3255642 , 3638965, 3468963, 3583073, 3386941, 3682966, 3529385, 3318447
New Jersey, 8885418 , 8874374, 8960161, 8904413, 8881845, 8832406, 8915456, 8878503
Delaware, 967679 , 917060, 943732, 926454, 949495, 908446, 934695, 957248
Kentucky, 4461952 , 4383272, 4424376, 4397353, 4440204, 4361333, 4411989, 4449052
Oklahoma, 3949342 , 3818851, 3896251, 3849733, 3918137, 3785742, 3875589, 3932870
Wyoming, 581348 , 575251, 583200, 579679, 581836, 570134, 583029, 581024
Idaho, 1754367 , 1599464, 1657375, 1616547, 1687809, 1583364, 1635483, 1717750
District of Columbia, 701974 , 633736, 672391, 647484, 684498, 619371, 659009, 692683
Vermont, 624340 , 626358, 624636, 626604, 624977, 625904, 626249, 624313
Alaska, 736990 , 728300, 738565, 733375, 738516, 720316, 736855, 737068
Iowa, 3150011 , 3078116, 3118102, 3093526, 3132499, 3062553, 3106589, 3139508
South Carolina, 5091517 , 4727273, 4893444, 4777576, 4955925, 4679602, 4834605, 5020806
Maryland, 6037624 , 5887776, 5996079, 5930538, 6003435, 5834299, 5959902, 6018848
New Hampshire, 1355244 , 1321069, 1331848, 1324201, 1343622, 1319171, 1327503, 1348124
Arkansas, 3011873 , 2947036, 2977944, 2958208, 2990671, 2933369, 2968472, 2999370
Colorado, 5684926 , 5197580, 5436519, 5278906, 5531141, 5119329, 5359295, 5610349
Nevada, 3030281 , 2761584, 2887725, 2798636, 2922849, 2730066, 2839172, 2972382
Minnesota, 5600166 , 5383661, 5490726, 5419171, 5527358, 5347740, 5450868, 5563378
Washington, 7512465 , 6899123, 7169967, 6985464, 7294336, 6819579, 7073146, 7404107
Virginia, 8509358 , 8185131, 8365952, 8256630, 8413774, 8100653, 8310301, 8454463
North Dakota, 760394 , 704925, 745475, 721640, 752201, 689781, 736162, 756717
Connecticut, 3570549 , 3592053, 3594478, 3593222, 3581504, 3583561, 3588570, 3575074
New York, 19514849 , 19594330, 19798228, 19673174, 19618453, 19487053, 19697457, 19572319
Wisconsin, 5806975 , 5724692, 5763217, 5742117, 5778394, 5706871, 5754798, 5790716
Oregon, 4176346 , 3900343, 4025127, 3939233, 4081943, 3868721, 3982267, 4129803
Utah, 3151239 , 2858111, 2993941, 2903379, 3045350, 2813673, 2948427, 3096848
Rhode Island, 1057798 , 1053252, 1056138, 1053661, 1056611, 1051695, 1054491, 1057231
Missouri, 6124160 , 6028076, 6075300, 6045448, 6090062, 6007182, 6059651, 6104910
Georgia, 10516579 , 9907756, 10201635, 10006693, 10297484, 9810417, 10099320, 10403847
Arizona, 7174064 , 6561516, 6809946, 6641928, 6946685, 6479703, 6728577, 7050299
Michigan, 9973907 , 9889024, 9925568, 9900571, 9957488, 9886095, 9909600, 9965265
Pennsylvania, 12794885 , 12758729, 12790505, 12779559, 12791181, 12731381, 12783977, 12791530
Maine, 1340825 , 1328535, 1330158, 1329100, 1332813, 1328320, 1329923, 1335492
Ohio, 11675275 , 11560380, 11609756, 11575977, 11641879, 11549590, 11586941, 11655397
Indiana, 6696893 , 6542411, 6614418, 6568645, 6637426, 6514861, 6589578, 6665703
Mississippi, 2981835 , 2984345, 2986220, 2988081, 2988762, 2976872, 2989192, 2984418
Montana, 1061705 , 1006370, 1029862, 1014699, 1041732, 998554, 1023391, 1050649
Nebraska, 1923826 , 1855617, 1893921, 1869365, 1904760, 1841625, 1881259, 1914571
Kansas, 2912619 , 2882946, 2903820, 2892987, 2908776, 2868107, 2898292, 2910652
Tennessee, 6772268 , 6451365, 6597381, 6499615, 6651089, 6402387, 6548009, 6709356
North Carolina, 10386227 , 9750405, 10052564, 9845333, 10155624, 9651380, 9940828, 10264876
Alabama, 4893186 , 4817678, 4850771, 4830620, 4864680, 4799277, 4841164, 4876250
South Dakota, 879336 , 834708, 855444, 843190, 864289, 825198, 851058, 870638
California, 39346023 , 38066920, 38982847, 38421464, 39148760, 37659181, 38654206, 39283497
Florida, 21216924 , 19361792, 20278447, 19645772, 20598139, 19091156, 19934451, 20901636
West Virginia, 1807426 , 1853881, 1836843, 1851420, 1829054, 1853619, 1846092, 1817305
Illinois, 12716164 , 12868747, 12854526, 12873761, 12821497, 12848554, 12851684, 12770631
Hawaii, 1420074 , 1392704, 1421658, 1406299, 1422029, 1376298, 1413673, 1422094

